target_a,target_b,top_param_1,top_abs_log10_median_diff_1,top_param_2,top_abs_log10_median_diff_2,top_param_3,top_abs_log10_median_diff_3,w_ff_0_median_un_FB,w_ff_0_median_FF_FB_broad,w_ff_1_median_un_FB,w_ff_1_median_FF_FB_broad,w_fb_0_median_un_FB,w_fb_0_median_FF_FB_broad,w_fb_1_median_un_FB,w_fb_1_median_FF_FB_broad,w_lat_0_median_un_FB,w_lat_0_median_FF_FB_broad,w_lat_1_median_un_FB,w_lat_1_median_FF_FB_broad,w_pv_lat_0_median_un_FB,w_pv_lat_0_median_FF_FB_broad,w_pv_lat_1_median_un_FB,w_pv_lat_1_median_FF_FB_broad,w_ff_0_median_FF_FB_narrow_familiar,w_ff_1_median_FF_FB_narrow_familiar,w_fb_0_median_FF_FB_narrow_familiar,w_fb_1_median_FF_FB_narrow_familiar,w_lat_0_median_FF_FB_narrow_familiar,w_lat_1_median_FF_FB_narrow_familiar,w_pv_lat_0_median_FF_FB_narrow_familiar,w_pv_lat_1_median_FF_FB_narrow_familiar,w_ff_0_median_FF_FB_narrow_novel,w_ff_1_median_FF_FB_narrow_novel,w_fb_0_median_FF_FB_narrow_novel,w_fb_1_median_FF_FB_narrow_novel,w_lat_0_median_FF_FB_narrow_novel,w_lat_1_median_FF_FB_narrow_novel,w_pv_lat_0_median_FF_FB_narrow_novel,w_pv_lat_1_median_FF_FB_narrow_novel,w_ff_0_median_FF_un,w_ff_1_median_FF_un,w_fb_0_median_FF_un,w_fb_1_median_FF_un,w_lat_0_median_FF_un,w_lat_1_median_FF_un,w_pv_lat_0_median_FF_un,w_pv_lat_1_median_FF_un
FF_FB_broad,FF_FB_narrow_familiar,w_ff_1,1.6568798165117222,w_fb_1,0.6832072112769783,w_fb_0,0.5368273327300297,,0.5,,0.468383640050888,,0.0398295857012271,,0.0483072884380817,,0.217748537659645,,0.250484436750412,,0.2589487433433532,,0.3,0.7202748954296112,0.0103210029192268,0.0115712014958262,0.01001856336370105,0.20072820782661435,0.7174185216426849,0.26711203157901764,0.6247119009494781,,,,,,,,,,,,,,,,
FF_FB_broad,FF_FB_narrow_novel,w_ff_0,1.7543193748081611,w_fb_0,0.7115405926483027,w_fb_1,0.4540643568813969,,0.5,,0.468383640050888,,0.0398295857012271,,0.0483072884380817,,0.217748537659645,,0.250484436750412,,0.2589487433433532,,0.3,,,,,,,,,0.0088034039363265,0.9025550484657288,0.0077386498451232,0.1374285668134689,0.2117254734039306,0.1345408111810684,0.1788382977247238,0.177061840891838,,,,,,,,
FF_FB_broad,FF_un,w_fb_1,2.6073131586745255,w_fb_0,2.527857664530269,w_lat_0,0.46754669393902404,,0.5,,0.468383640050888,,0.0398295857012271,,0.0483072884380817,,0.217748537659645,,0.250484436750412,,0.2589487433433532,,0.3,,,,,,,,,,,,,,,,,0.5987270474433899,0.5750105977058411,0.0001181267143692,0.0001193162242998,0.0742007941007614,0.0859977751970291,0.1015060544013977,0.1028906852006912
FF_FB_narrow_familiar,FF_FB_narrow_novel,w_ff_1,1.941751798903519,w_ff_0,1.912847648546914,w_fb_1,1.1372715681583752,,,,,,,,,,,,,,,,,0.7202748954296112,0.0103210029192268,0.0115712014958262,0.01001856336370105,0.20072820782661435,0.7174185216426849,0.26711203157901764,0.6247119009494781,0.0088034039363265,0.9025550484657288,0.0077386498451232,0.1374285668134689,0.2117254734039306,0.1345408111810684,0.1788382977247238,0.177061840891838,,,,,,,,
FF_FB_narrow_familiar,FF_un,w_fb_0,1.9910303318002394,w_fb_1,1.9241059473975475,w_ff_1,1.745953948119087,,,,,,,,,,,,,,,,,0.7202748954296112,0.0103210029192268,0.0115712014958262,0.01001856336370105,0.20072820782661435,0.7174185216426849,0.26711203157901764,0.6247119009494781,,,,,,,,,0.5987270474433899,0.5750105977058411,0.0001181267143692,0.0001193162242998,0.0742007941007614,0.0859977751970291,0.1015060544013977,0.1028906852006912
FF_FB_narrow_novel,FF_un,w_fb_1,3.0613775155559226,w_ff_0,1.832578248277231,w_fb_0,1.8163170718819663,,,,,,,,,,,,,,,,,,,,,,,,,0.0088034039363265,0.9025550484657288,0.0077386498451232,0.1374285668134689,0.2117254734039306,0.1345408111810684,0.1788382977247238,0.177061840891838,0.5987270474433899,0.5750105977058411,0.0001181267143692,0.0001193162242998,0.0742007941007614,0.0859977751970291,0.1015060544013977,0.1028906852006912
un_FB,FF_FB_broad,w_ff_1,1.7692266745766978,w_ff_0,1.7665709741239537,w_fb_1,0.8344441966511165,0.0085585271008312,0.5,0.0079684718511998,0.468383640050888,0.006951306015253,0.0398295857012271,0.0070724268443882,0.0483072884380817,0.18173807859420776,0.217748537659645,0.2130237817764282,0.250484436750412,0.12803593277931208,0.2589487433433532,0.11817250028252599,0.3,,,,,,,,,,,,,,,,,,,,,,,,
un_FB,FF_FB_narrow_familiar,w_ff_0,1.9250992478627065,w_pv_lat_1,0.7231633550778699,w_lat_1,0.5273444943183707,0.0085585271008312,,0.0079684718511998,,0.006951306015253,,0.0070724268443882,,0.18173807859420776,,0.2130237817764282,,0.12803593277931208,,0.11817250028252599,,0.7202748954296112,0.0103210029192268,0.0115712014958262,0.01001856336370105,0.20072820782661435,0.7174185216426849,0.26711203157901764,0.6247119009494781,,,,,,,,,,,,,,,,
un_FB,FF_FB_narrow_novel,w_ff_1,2.054098656968495,w_fb_1,1.2885085535325134,w_lat_1,0.19957404854890892,0.0085585271008312,,0.0079684718511998,,0.006951306015253,,0.0070724268443882,,0.18173807859420776,,0.2130237817764282,,0.12803593277931208,,0.11817250028252599,,,,,,,,,,0.0088034039363265,0.9025550484657288,0.0077386498451232,0.1374285668134689,0.2117254734039306,0.1345408111810684,0.1788382977247238,0.177061840891838,,,,,,,,
un_FB,FF_un,w_ff_1,1.858300806184063,w_ff_0,1.8448298475930236,w_fb_1,1.7728689620234093,0.0085585271008312,,0.0079684718511998,,0.006951306015253,,0.0070724268443882,,0.18173807859420776,,0.2130237817764282,,0.12803593277931208,,0.11817250028252599,,,,,,,,,,,,,,,,,,0.5987270474433899,0.5750105977058411,0.0001181267143692,0.0001193162242998,0.0742007941007614,0.0859977751970291,0.1015060544013977,0.1028906852006912
